ﻻﻮﻈﻴﻓﺓ ﺃﻭ ﻻﺩﺮﺟﺓ,,"ﻖﻴﻣﺓ ﻼﺑﺪﻟ

)ﻱﻮﻤﻳﺍ(",ﺕﺫﺎﻛﺭ ﻼﺴﻓﺭ
,ﺥﺍﺮﺟ ﻻﺩﻮﻟﺓ,ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ,
ﻻﺮﺌﻴﺳ,")3,500(
ﺩﺮﻬﻣ",")1,750(
ﺩﺮﻬﻣ",ﻻﺩﺮﺟﺓ ﺍﻷﻮﻠﯨ
ﺎﻤﻟﺪﻳﺭ ﻼﻋﺎﻣ / ﻡﺪﻳﺭ,")3,000(
ﺩﺮﻬﻣ",")1,500(
ﺩﺮﻬﻣ",ﻻﺩﺮﺟﺓ ﺍﻷﻮﻠﯨ
"ﻻﺩﺮﺠــﺓ ﺍﻷﻮﻠــﯨ ﻭﻼﺛﺎﻨﻴــﺓ ﻢــﻧ ﻦﻈــﺎﻣ ﻻﻮﻇﺎﺌــﻓ ﻼﻋﺎﻤــﺓ ﻭﻻﺩﺮﺠــﺓ
ﻼﺴــﺎﺒﻋﺓ ﻮﺤﺘــﯨ ﻼﺛﻼﺜــﺓ ﻢــﻧ ﻦﻈــﺎﻣ ﻮﻇﺎﺌــﻓ ﺎﻤﻠﻬﻧﺪﺴــﻴﻧ ﻮﻤــﻧ ﻒــﻳ
ﻢﺴــﺗﻭﺎﻬﻣ ﻭﻻﺬﻴــﻧ ﻲﺤﺼﻠــﻮﻧ ﻊﻠــﯨ ﺭﺎﺘــﺑ ﺄﺳﺍ�ﺲــﻳ 10.000ﺩﺮﻬــﻣ
ﻑﺄﻜﺜــﺭ ﻢــﻧ ﺍﻸﻨﻈﻤــﺓ ﺍﻸﺨــﺮﯨ.",")2,500(
ﺩﺮﻬﻣ",")1,250(
ﺩﺮﻬﻣ",ﺩﺮﺟﺓ ﺮﺟﻻ ﺍﻸﻌﻣﻻ
"ﻻﺩﺮﺠــﺓ ﻼﺛﻼﺜــﺓ ﻒﻤــﺍ ﺩﻮﻧ ﻢــﻧ ﻦﻈــﺎﻣ ﻻﻮﻇﺎﺌــﻓ ﻼﻋﺎﻤــﺓ ﻭﻻﺩﺮﺠــﺓ
ﻼﺛﺎﻨﻴــﺓ ﻭﺍﻷﻮﻠــﯨ ﻢــﻧ ﻦﻈــﺎﻣ ﻮﻇﺎﺌــﻓ ﺎﻤﻠﻬﻧﺪﺴــﻴﻧ ﻮﻤــﻧ ﻒــﻳ ﻢﺴــﺗﻭﺎﻬﻣ
 
ﻭﻻﺬﻴــﻧ ﻲﺘﻗﺎﻀــﻮﻧ ﺭﺎﺘﺒــﺍ ﺄﺳﺎﺴــﻳﺍ ﻲﻘــﻟ ﻊــﻧ 10.000 ﺩﺮﻬــﻣ ﻢــﻧ
ﺍﻸﻨﻈﻤــﺓ ﺍﻸﺨــﺮﯨ.",")2,000(
ﺩﺮﻬﻣ",")1,000(
ﺩﺮﻬﻣ",ﻻﺩﺮﺟﺓ ﻼﺴﻳﺎﺤﻳﺓ
