ﻻﺩﺮﺟﺓ,ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ,ﻼﺣﺩ ﺍﻷﺪﻨﯨ ﻢﻟﺩﺓ ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﻝﻹﺩﺍﺮﻳ,ﻼﺣﺩ ﺍﻷﺪﻨﯨ ﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻞﻠﻔﻨﻳ
ﺍﻷﻮﻠﯨ,ﺶﻫﺍﺩﺓ ﻻﺪﻜﺗﻭﺭﺎﻫ,13 ﺲﻧﻭﺎﺗ,12 ﺲﻧﻭﺎﺗ
ﻼﺛﻼﺛﺓ,ﺩﺮﺟﺓ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,11 ﺲﻧﻭﺎﺗ,10 ﺲﻧﻭﺎﺗ
ﻻﺭﺎﺒﻋﺓ,"ﻡﺆﻬﻟ ﺝﺎﻤﻌﻳ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ ﺃﻭ ﻻﺪﺒﻟﻮﻣ ﻻﺬﻳ
ﺖﺒﻠﻏ ﻡﺪﺘﻫ ﻻﺩﺭﺎﺴﻳﺓ ﺃﺮﺒﻋ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺼﻓ
ﻼﺛﺎﻨﻳ ﻊﺷﺭ",11 ﺲﻧﻭﺎﺗ,11 ﺲﻧﻭﺎﺗ
ﻼﺳﺍﺪﺳﺓ,"ﺪﺒﻟﻮﻣ )3( ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ ﺃﻭ
ﻡﺍ ﻲﻋﺍﺪﻠﻫ",11 ﺲﻧﻭﺎﺗ,8 ﺲﻧﻭﺎﺗ
ﻼﺳﺎﺒﻋﺓ,"ﺪﺒﻟﻮﻣ ﺲﻨﺘﻴﻧ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ ﺃﻭ ﻡﺍ
ﻲﻋﺍﺪﻠﻫ",8 ﺲﻧﻭﺎﺗ,ﺲﻨﺗﺎﻧ
ﻼﺗﺎﺴﻋﺓ,ﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻭﺎﺣﺩﺓ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ,5 ﺲﻧﻭﺎﺗ,ﺲﻨﺗﺎﻧ
,,,"ﻼﺗﺮﻘﻳﺓ ﻻﻮﻈﻴﻔﻳﺓ ﻞﻠﻤﻌﻴﻨﻴﻧ ﺐﻫﺫﺍ ﻼﻨﻇﺎﻣ ﺖﻛﻮﻧ ﺃﺮﺒﻋ ﺕﺮﻘﻳﺎﺗ ﺐﺣﺩ ﺄﻗ�ﺺﯨ ﻁﻭﻻ ﻡﺩﺓ ﻼﺧﺪﻣﺓ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﺶﻫﺍﺩﺎﺗ ﻻﺪﺒﻟﻮﻣ ﻼﺴﻨﺘﻴﻧ ﺃﻭ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻻﺭﺎﺒﻋﺓ ﺐﺣﺩ ﺄﻗ�ﺺﯨ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﻡﺆﻬﻟ ﻻﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻭﺎﺣﺩﺓ ﺐﻋﺩ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﻮﺤﻤﻟﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻼﺧﺎﻤﺳﺓ ﺐﺣﺩ ﺄﻗ�ﺺﯨ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﺶﻫﺍﺩﺓ ﻡﺍﺩﻮﻧ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻼﺛﺎﻤﻧﺓ ﺐﺣﺩ ﺄﻗ�ﺺﯨ .
ﻒﻴﻣﺍ ﻉﺩﺍ ﺢﻤﻟﺓ ﺶﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﻮﻣﺍ ﺩﻮﻨﻫﺍ ﺍﺫﺍ ﻙﺎﻧ ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ ﻲﺘﻧﺎﺴﺑ ﻢﻋ ﻻﻮﻈﻴﻓﺓ ﺎﻤﻠﻄﻟﻮﺑ ﺶﻐﻠﻫﺍ ﻮﻛﺎﻨﺗ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺄﻘﻟ ﻢﻧ ﻡﺩﺓ

ﻼﺨﺑﺭﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ ﻲﻤﻜﻧ ﻼﺘﻌﻴﻴﻧ ﻮﻔﻗﺍ ﻢﻟﺍ ﻲﻠﻳ :-
•ﺇﺫﺍ ﻙﺎﻨﺗ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺖﻋﺍﺪﻟ ﻦﺼﻓ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ ﺃﻭ ﺄﻜﺛﺭ ﺖﺨﻔﺿ ﺩﺮﺟﺓ ﻼﺘﻌﻴﻴﻧ ﺐﻤﻗﺩﺍﺭ ﺩﺮﺟﺓ ﻮﻈﻴﻔﻳﺓ ﻡﺎﻋﺩﺍ ﺢﻤﻟﺓ ﻡﺆﻬﻟ ﻻﺪﺒﻟﻮﻣ
ﺲﻧﺓ ﻭﺎﺣﺩﺭﺓ ﺖﺨﻔﺿ ﺩﺮﺟﺓ ﻼﺘﻌﻴﻴﻧ ﺩﺮﺟﺓ ﻭﺎﺣﺩﺓ .
•ﺇﺫﺍ ﻙﺎﻨﺗ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺄﻘﻟ ﻢﻧ ﻦﺼﻓ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ ﺖﺨﻔﺿ ﺩﺮﺟﺓ ﻼﺘﻌﻴﻴﻧ ﺐﻤﻗﺩﺍﺭ ﺩﺮﺠﺘﻴﻧ ﻮﻈﻴﻔﻴﺘﻴﻧ .
•ﺏﻼﻨﺴﺑﺓ ﻞﺤﻤﻟﺓ ﻡﺆﻬﻟ ﻻﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻭﺎﺣﺩﺓ ﻑﺇﺫﺍ ﻙﺎﻨﺗ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﺄﻘﻟ ﻢﻧ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ ﺖﺨﻔﺿ ﺩﺮﺟﺓ ﻼﺘﻌﻴﻴﻧ
ﺐﻤﻗﺩﺍﺭ ﺩﺮﺟﺓ ﻭﺎﺣﺩﺓ."
