ﻻﺩﺮﺟﺓ,ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ / ﺎﻤﻠﻫﺍﺭﺓ ﺎﻤﻠﻜﺘﺴﺑﺓ,,,ﻼﺘﻌﻴﻴﻧ ﺢﺴﺑ ﺲﻧﻭﺎﺗ ﻼﺨﺑﺭﺓ ﻭﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ
,,ﺪﻜﺗﻭﺭﺎﻫ,ﻡﺎﺠﺴﺘﻳﺭ,ﺐﻛﻻﻭﺮﻳﻮﺳ
ﻼﺳﺎﺒﻋﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",14,18,19
ﻼﺳﺍﺪﺳﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",11,15,16
ﻼﺧﺎﻤﺳﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",8,12,13
ﻻﺭﺎﺒﻋﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",5,9,10
ﻼﺛﻼﺛﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",2,6,7
ﻼﺛﺎﻨﻳﺓ,"ﺪﻜﺗﻭﺭﺎﻫ ﺃﻭ ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ.",-,3,4
ﺍﻷﻮﻠﯨ,ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ ﻼﺘﺨﺼﺻ.,-,-,-
