ﻻﺩﺮﺟﺓ,ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ,ﻼﺣﺩ ﺍﻷﺪﻨﯨ ﻞﻠﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ
ﺍﻷﻮﻠﯨ,ﺶﻫﺍﺩﺓ ﻻﺪﻜﺗﻭﺭﺎﻫ,12 ﺲﻧﻭﺎﺗ
ﻼﺛﻼﺛﺓ,ﺩﺮﺟﺓ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,10 ﺲﻧﻭﺎﺗ
ﻻﺭﺎﺒﻋﺓ,"ﻡﺆﻬﻟ ﺝﺎﻤﻌﻳ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ ﺃﻭ ﻻﺪﺒﻟﻮﻣ ﻻﺬﻳ ﺖﺒﻠﻏ ﻡﺪﺘﻫ ﻻﺩﺭﺎﺴﻳﺓ ﺃﺮﺒﻋ
ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ",11 ﺲﻧﻭﺎﺗ
ﻼﺳﺍﺪﺳﺓ,ﺪﺒﻟﻮﻣ )3( ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ,8 ﺲﻧﻭﺎﺗ
ﻼﺳﺎﺒﻋﺓ,ﺪﺒﻟﻮﻣ ﺲﻨﺘﻴﻧ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ,ﺲﻨﺗﺎﻧ
ﻼﺗﺎﺴﻋﺓ,ﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻭﺎﺣﺩﺓ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ,ﺲﻨﺗﺎﻧ
,,"ﻼﺗﺮﻘﻳﺓ ﻻﻮﻈﻴﻔﻳﺓ ﻞﻠﻤﻌﻴﻨﻴﻧ ﺐﻫﺫﺍ ﻼﻨﻇﺎﻣ ﺖﻛﻮﻧ ﺃﺮﺒﻋ ﺕﺮﻘﻳﺎﺗ ﺐﺣﺩ ﺄﻗ�ﺲﯨ ﻁﻭﻻ ﻡﺩﺓ ﻼﺧﺪﻣﺓ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﺶﻫﺍﺩﺎﺗ ﻻﺪﺒﻟﻮﻣ ﻼﺴﻨﺘﻴﻧ ﺃﻭ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻻﺭﺎﺒﻋﺓ ﺐﺣﺩ ﺄﻗ�ﺲﯨ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﻡﺆﻬﻟ ﻻﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻭﺎﺣﺩﺓ ﺐﻋﺩ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﻮﺤﻤﻟﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻼﺧﺎﻤﺳﺓ ﺐﺣﺩ ﺄﻗ�ﺲﯨ.
ﺕﺮﻘﻳﺓ ﺢﻤﻟﺓ ﺶﻫﺍﺩﺓ ﻡﺍﺩﻮﻧ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ ﺖﻛﻮﻧ ﻺﯨ ﻻﺩﺮﺟﺓ ﻼﺛﺎﻤﻧﺓ ﺐﺣﺩ ﺄﻗ�ﺲﯨ .
ﻒﻴﻤــﺍ ﻊــﺩﺍ ﺢﻤﻠــﺓ ﺶــﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻴــﺓ ﻼﻋﺎﻤــﺓ ﻮﻤــﺍ ﺩﻮﻨﻬــﺍ ﺍﺫﺍ ﻙﺎﻧ ﺎﻤﻟﺆﻬــﻟ ﻼﻌﻠﻤــﻳ ﻲﺘﻧﺎﺴــﺑ ﻢــﻋ ﻻﻮﻈﻴﻔــﺓ ﺎﻤﻠﻄﻠــﻮﺑ ﺶــﻐﻠﻫﺍ ﻮﻛﺎﻨــﺗ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﺄﻘــﻟ

ﻢــﻧ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﺎﻤﻠﻄﻟﻮﺒــﺓ ﻲﻤﻜــﻧ ﻼﺘﻌﻴﻴــﻧ ﻮﻔﻘــﺍ ﻢﻠــﺍ ﻲﻠــﻳ :-
•ﺇﺫﺍ ﻙﺎﻨــﺗ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﺖﻌــﺍﺪﻟ ﻦﺼــﻓ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﺎﻤﻠﻄﻟﻮﺒــﺓ ﺃﻭ ﺄﻜﺜــﺭ ﺖﺨﻔــﺿ ﺩﺮﺠــﺓ ﻼﺘﻌﻴﻴــﻧ ﺐﻤﻘــﺩﺍﺭ ﺩﺮﺠــﺓ ﻮﻈﻴﻔﻴــﺓ ﻡﺎﻌــﺩﺍ ﺢﻤﻠــﺓ ﻡﺆﻬــﻟ
ﻻﺪﺒﻠــﻮﻣ ﺲــﻧﺓ ﻭﺎﺤــﺩﺭﺓ ﺖﺨﻔــﺿ ﺩﺮﺠــﺓ ﻼﺘﻌﻴﻴــﻧ ﺩﺮﺠــﺓ ﻭﺎﺤــﺩﺓ .
•ﺇﺫﺍ ﻙﺎﻨﺗ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺄﻘﻟ ﻢﻧ ﻦﺼﻓ ﻡﺩﺓ ﻼﺨﺑﺭﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ ﺖﺨﻔﺿ ﺩﺮﺟﺓ ﻼﺘﻌﻴﻴﻧ ﺐﻤﻗﺩﺍﺭ ﺩﺮﺠﺘﻴﻧ ﻮﻈﻴﻔﻴﺘﻴﻧ .
•ﺏﻼﻨﺴــﺑﺓ ﻞﺤﻤﻠــﺓ ﻡﺆﻬــﻟ ﻻﺪﺒﻠــﻮﻣ ﺲــﻧﺓ ﻭﺎﺤــﺩﺓ ﻒــﺇﺫﺍ ﻙﺎﻨــﺗ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﻼﻌﻤﻠﻴــﺓ ﺄﻘــﻟ ﻢــﻧ ﻢــﺩﺓ ﻼﺨﺒــﺭﺓ ﻼﻌﻤﻠﻴــﺓ ﺎﻤﻠﻄﻟﻮﺒــﺓ ﺖﺨﻔــﺿ ﺩﺮﺠــﺓ
ﻼﺘﻌﻴﻴــﻧ ﺐﻤﻘــﺩﺍﺭ ﺩﺮﺠــﺓ ﻭﺎﺤــﺩﺓ."
