ﻡ,ﻻﺩﺮﺟﺓ ﺎﻤﻟﻼﻳﺓ,ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ
1,ﻻﺭﺎﺒﻋﺓ,"ﻼﺣﺎﺼــﻟ ﻊﻠــﯨ ﺩﺮﺠــﺓ ﻼﺒﻛﻻﻭﺮﻴــﻮﺳ ﺃﻭ ﻢــﺍ ﻲﻋﺍﺪﻠﻬــﺍ ﻭﻼﺘــﻳ ﺖﺒﻠــﻏ ﻡﺪﺘﻬــﺍ ﻻﺩﺭﺎﺴــﻳﺓ ﺃﺮﺒــﻋ ﺲــﻧﻭﺎﺗ ﺐﻌــﺩ ﻼﺼــﻓ ﻼﺛﺎﻨــﻳ
ﻊﺸــﺭ ، ﻮﺧﺮﻴﺠــﻳ ﻚﻠﻴــﺎﺗ ﻼﺘﻘﻨﻴــﺓ ﻼﻌﻠﻴــﺍ ﻼﺣﺎﺼﻠﻴــﻧ ﻊﻠــﯨ ﺶــﻫﺍﺩﺓ ﻻﺪﺒﻠــﻮﻣ ﻼﻋﻼــﻳ."
2,ﻼﺧﺎﻤﺳﺓ,ﻼﺣﺎﺼﻟ ﻊﻠﯨ ﻻﺪﺒﻟﻮﻣ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ ﻭﻻﺬﻳ ﺖﺒﻠﻏ ﻡﺪﺘﻫ ﻻﺩﺭﺎﺴﻳﺓ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ.
3,ﻼﺳﺍﺪﺳﺓ,ﻼﺣﺎﺼﻟ ﻊﻠﯨ ﻻﺪﺒﻟﻮﻣ ﺃﻭ ﻡﺍ ﻲﻋﺍﺪﻠﻫ ﻭﻻﺬﻳ ﺖﺒﻠﻏ ﻡﺪﺘﻫ ﻻﺩﺭﺎﺴﻳﺓ ﺲﻨﺘﻴﻧ ﺐﻋﺩ ﻼﺼﻓ ﻼﺛﺎﻨﻳ ﻊﺷﺭ.
4,ﻼﺳﺎﺒﻋﺓ,"ﻼﺣﺎﺼــﻟ ﻊﻠــﯨ ﺪﺒﻠــﻮﻣ ﺃﻭ ﻢــﺍ ﻲﻋﺍﺪﻠــﻫ ﻭﻼــﺬﻳ ﺖﺒﻠــﻏ ﻡﺪﺘــﻫ ﻻﺩﺭﺎﺴــﻳﺓ ﺲــﻧﺓ ﺐﻌــﺩ ﻼﺼــﻓ ﻼﺛﺎﻨــﻳ ﻊﺸــﺭ ﻮﺤﻤﻠــﺓ ﻼﺼــﻓ
ﻼﺛﺎﻨــﻳ ﻊﺸــﺭ )ﻼﺛﺎﻧﻮﻴــﺓ ﻼﻋﺎﻤــﺓ( ﺃﻭ ﻡﺎﻴﻋﺍﺪﻠﻬــﺍ."
