ةفيظولا,طبرلا ةيادب,طبرلا ةياهن,ةيرودلا ةولاعلا ةميق,لاقتنلاا لدب,,نكسلا لدب,ةشيعم ءلاغ
مامإ,"3,198","3,729",64,"1,439
+
200","للأعزب
%04 وبحد
بحد أدنى
أق�سى 044
درهم
056,1
درهم","للمتزوج
درهم
%06 وبحد
بحد أدنى
أق�سى 055
درهم
002.2","بواقع
%02 وبحد
بحد أدنى
أق�سى 022
درهم
055
درهم"
نذؤم,"2,549","3,016",51,"1,148
+
200",,,
