الدرجة,املؤهل العلمي / املهارة املكتسبة,,,التعيين حسب سنوات الخبرة واملؤهل العلمي
,,دكتوراه,ماجستير,بكالوريوس
السابعة,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",14,18,19
السادسة,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",11,15,16
الخامسة,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",8,12,13
الرابعة,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",5,9,10
الثالثة,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",2,6,7
الثانية,"دكتوراه أو ماجستير أو بكالوريوس أو مايعادله في مجال
التخصص.",-,3,4
األولى,ماجستير أو بكالوريوس في مجال التخصص.,-,-,-
