الوظيفة,بداية الربط,نهاية الربط,قيمة العالوة الدورية,بدل االنتقال,,بدل السكن,غالء معيشة
إمام,"3,198","3,729",64,"1,439
+
200","بزعألل
دحبو 04%
ىندأ دحب
044 ىس�قأ
مهرد
056,1
مهرد","جوزتملل
مهرد
دحبو 06%
ىندأ دحب
055 ىس�قأ
مهرد
002.2","عقاوب
دحبو 02%
ىندأ دحب
022 ىس�قأ
مهرد
055
مهرد"
مؤذن,"2,549","3,016",51,"1,148
+
200",,,
