ﻻﺩﺮﺟﺓ,"ﻻﺭﺎﺘﺑ
ﺍﻸﺳﺍ�ﺲﻳ",ﻍﻻﺀ ﺎﻤﻠﻌﻴﺷﺓ,"ﻼﻋﻻﻭﺓ
ﺍﻺﺠﺘﻣﺎﻌﻳﺓ",ﻉﻻﻭﺓ ﺍﻷﻭﻻﺩ,"ﻖﻴﻣﺓ ﻼﻋﻻﻭﺓ
ﻻﺩﻭﺮﻳﺓ","ﻉﻻﻭﺓ ﻻﺩﺮﺟﺓ
ﻼﻌﻤﻠﻳﺓ",ﻼﺣﺩ ﺍﻷﺪﻨﯨ ﻞﻠﺒﻗﺍﺀ ﻒﻳ ﻻﺩﺮﺟﺓ
ﻼﺳﺎﺒﻋﺓ,"39,000","13,000","2,000","ﻞﻜﻟ
ﺪﻟﻭ
006
ﻢﻫﺭﺩ
ﻥﻭﺩ
ﺪﺣ
ﻰﺳ�ﻕﺃ",350,"ﺢﻨﻤﻳ ﺢﻨﻤﻳ
ﻒﻇﻮﻤﻟﺍ ﻒﻇﻮﻤﻟﺍ
ﻞﺻﺎﺤﻟﺍ ﻞﺻﺎﺤﻟﺍ
ﻰﻠﻋ ﻰﻠﻋ
ﺔﺟﺭﺩ ﺔﺟﺭﺩ
ﺓﺍﺭﻮﺘﻛﺪﻟﺍ ﺮﻴﺘﺴﺟﺎﻤﻟﺍ
ﺓﻭﻼﻋ ﺓﻭﻼﻋ
ﺔﻤﻴﻘﺑ ﺔﻤﻴﻘﺑ
(0002) (0001)
ﻢﻫﺭﺩ ﻢﻫﺭﺩ
ﺎﻳﺮﻬﺷ ﺎﻳﺮﻬﺷ
.  . ",6 ﺲﻧﻭﺎﺗ
ﻼﺳﺍﺪﺳﺓ,"33,000","11,000","2,000",,350,,
ﻼﺧﺎﻤﺳﺓ,"28,500","9,500","2,000",,300,,
ﻻﺭﺎﺒﻋﺓ,"25,644","8,547","2,000",,300,,
ﻼﺛﻼﺛﺓ,"23,907","7,969","2,000",,300,,
ﻼﺛﺎﻨﻳﺓ,"21,086","7,028","3,000",,250,,
ﺍﻷﻮﻠﯨ,"19,746","6,581","3,000",,,,
