ةجردلا,"بتارلا
يس�اسلأا","ءلاغ
ةشيعلما","ةولاعلا
ةيعامتجلإا",دلاولأا ةولاع,"ةميق
ةولاعلا
ةيرودلا",ةيلمعلا ةجردلا ةولاع,"ىندلأا دحلا
يف ءاقبلل
ةجردلا"
ىلولأا,"21,375","7,125","2,000","لكل
ولد
006
أق�سى
درهم
دون
حد",300,"يمنح الماجستير درهم يمنح الدكتوراة درهم
الموظف شهريا الموظف شهريا
علاوة علاوة
ً . ً .
الحاصل الحاصل
بقيمة بقيمة
على (0001) على (0002)
درجة درجة",تاونس 6
ةيناثلا,"19,875","6,625","2,000",,300,,
ةثلاثلا,"17,625","5,875","3,000",,250,,
ةعبارلا,"16,500","5,500","3,000",,250,,
ةسماخلا,"13,875","4,625","3,000",,250,,
ةسداسلا,"11,625","3,875","4,000",,250,,
ةعباسلا,"10,875","3,625","4,000",,200,,
ةنماثلا,"10,125","3,375","4,000",,200,,
