الدرجة,املؤهل العلمي,الحد األدنى ملدة الخبرة العملية لإلداري,الحد األدنى الخبرات العملية للفني
األولى,شهادة الدكتوراه,13 سنوات,12 سنوات
الثالثة,درجة املاجستير,11 سنوات,10 سنوات
الرابعة,"مؤهل جامعي أو ما يعادله أو الدبلوم الذي
تبلغ مدته الدراسية أربع سنوات بعد الصف
الثاني عشر",11 سنوات,11 سنوات
السادسة,"دبلوم )3( سنوات بعد الصف الثاني عشر أو
ما يعادله",11 سنوات,8 سنوات
السابعة,"دبلوم سنتين بعد الصف الثاني عشر أو ما
يعادله",8 سنوات,سنتان
التاسعة,دبلوم سنة واحدة بعد الصف الثاني عشر,5 سنوات,سنتان
,,,"الترقية الوظيفية للمعينين بهذا النظام تكون أربع ترقيات بحد أق�صى طوال مدة الخدمة.
ترقية حملة شهادات الدبلوم السنتين أو ثالث سنوات بعد الثانوية العامة تكون إلى الدرجة الرابعة بحد أق�صى.
ترقية حملة مؤهل الدبلوم سنة واحدة بعد الثانوية العامة وحملة الثانوية العامة تكون إلى الدرجة الخامسة بحد أق�صى.
ترقية حملة شهادة مادون الثانوية العامة تكون إلى الدرجة الثامنة بحد أق�صى .
فيما عدا حملة شهادة الثانوية العامة وما دونها اذا كان املؤهل العلمي يتناسب مع الوظيفة املطلوب شغلها وكانت مدة الخبرة أقل من مدة
ً
الخبرة املطلوبة يمكن التعيين وفقا ملا يلي :-
•إذا كانت مدة الخبرة تعادل نصف مدة الخبرة املطلوبة أو أكثر تخفض درجة التعيين بمقدار درجة وظيفية ماعدا حملة مؤهل الدبلوم
سنة واحدرة تخفض درجة التعيين درجة واحدة .
•إذا كانت مدة الخبرة أقل من نصف مدة الخبرة املطلوبة تخفض درجة التعيين بمقدار درجتين وظيفيتين .
•بالنسبة لحملة مؤهل الدبلوم سنة واحدة فإذا كانت مدة الخبرة العملية أقل من مدة الخبرة العملية املطلوبة تخفض درجة التعيين
بمقدار درجة واحدة."
