ةجردلا,"بتارلا
يس�اسلأا",ةشيعلما ءلاغ,"ةولاعلا
ةيعامتجلإا",دلاولأا ةولاع,"ةولاعلا ةميق
ةيرودلا","ةجردلا ةولاع
ةيلمعلا",ةجردلا يف ءاقبلل ىندلأا دحلا
ةعباسلا,"39,000","13,000","2,000","لكل
ولد
006
درهم
دون
حد
أق�سى",350,"يمنح يمنح
الموظف الموظف
الحاصل الحاصل
على على
درجة درجة
الماجستير الدكتوراة
علاوة علاوة
بقيمة بقيمة
(0001) (0002)
درهم درهم
شهريا شهريا
ً . ً .",تاونس 6
ةسداسلا,"33,000","11,000","2,000",,350,,
ةسماخلا,"28,500","9,500","2,000",,300,,
ةعبارلا,"25,644","8,547","2,000",,300,,
ةثلاثلا,"23,907","7,969","2,000",,300,,
ةيناثلا,"21,086","7,028","3,000",,250,,
ىلولأا,"19,746","6,581","3,000",,,,
