الدرجة,"الراتب
ا ألسا�سي",غالء املعيشة,"العالوة
ا إلجتماعية","عالوة
ا ألوالد","قيمة
العالوة
الدورية",عالوة الدرجة العملية,"الحد ا ألدنى للبقاء
في الدرجة"
ا ألولى,"21,375","7,125","2,000","لكل
دلو
006
مهرد
نود
دح
ىس�قأ",300,"مــهرد حــنمي مــهرد حــنمي
ايرهــش فــظوملا ايرهــش فــظوملا
ً ً
. .
لــصاحلا لــصاحلا
ىــلع ىــلع
ةــجرد ةــجرد
ةا روــتكدلا ريتــسجاملا
ةوالــع ةوالــع
ةــميقب ةــميقب
(0002) (0001)",6 سنوات
الثانية,"19,875","6,625","2,000",,300,,
الثالثة,"17,625","5,875","3,000",,250,,
الرابعة,"16,500","5,500","3,000",,250,,
الخامسة,"13,875","4,625","3,000",,250,,
السا دسة,"11,625","3,875","4,000",,250,,
السابعة,"10,875","3,625","4,000",,200,,
الثامنة,"10,125","3,375","4,000",,200,,
