م,الدرجة املالية,املؤهل العلمي
1,الرابعة,"الحاصــل علــى درجــة البكالوريــوس أ و مــا يعا دلهــا والتــي تبلــغ مدتهــا الدراســية أ ربــع ســنوات بعــد الصــف الثانــي
عشــر ، وخريجــي كليــات التقنيــة العليــا الحاصليــن علــى شــها دة الدبلــوم العالــي."
2,الخامسة,الحاصل على الدبلوم أ و ما يعا دله والذي تبلغ مدته الدراسية ثالث سنوات بعد الصف الثاني عشر.
3,السا دسة,الحاصل على الدبلوم أ و ما يعا دله والذي تبلغ مدته الدراسية سنتين بعد الصف الثاني عشر.
4,السابعة,"الحاصــل علــى دبلــوم أ و مــا يعا دلــه والــذي تبلــغ مدتــه الدراســية ســنة بعــد الصــف الثانــي عشــر وحملــة الصــف
الثانــي عشــر )الثانويــة العامــة( أ و مايعا دلهــا."
