الدرجة,"الراتب
ا ألسا�سي",غالء املعيشة,"العالوة
ا إلجتماعية",عالوة ا ألوالد,"قيمة العالوة
الدورية","عالوة الدرجة
العملية",الحد ا ألدنى للبقاء في الدرجة
السابعة,"39,000","13,000","2,000","لكل
دلو
006
مهرد
نود
دح
ىس�قأ",350,"حنمي حنمي
فظوملا فظوملا
لصاحلا لصاحلا
ىلع ىلع
ةجرد ةجرد
ةا روتكدلا ريتسجاملا
ةوالع ةوالع
ةميقب ةميقب
(0002) (0001)
مهرد مهرد
ايرهش ايرهش
. ً . ً",6 سنوات
السا دسة,"33,000","11,000","2,000",,350,,
الخامسة,"28,500","9,500","2,000",,300,,
الرابعة,"25,644","8,547","2,000",,300,,
الثالثة,"23,907","7,969","2,000",,300,,
الثانية,"21,086","7,028","3,000",,250,,
ا ألولى,"19,746","6,581","3,000",,,,
