فني تخطيط قلب,"دبلوم سنتني يف مجال
التخصص",سنة,,
فني تعقيم,"1-1دبلوم سنتني يف التخصص.
2- دبلوم يف املجال الصحي +
شها دة إعتامد دولية.",دبلوم سنتني يف التخصص.,,
مساعد طبيب ا ألسنان,"دبلوم سنتني يف مجال
التخصص أ و دبلوم متريض
أسنان",سنة,,
فني صحة ا ألسنان,"دبلوم سنتني يف مجال
التخصص",سنة,,
فني معمل ا ألسنان,"دبلوم سنتني يف مجال
التخصص",سنة,,
تقني التشخيص الكهروعصبي,"دبلوم سنتني يف التخصص
+شها دة إعتامد دولية",سنة,,
مسعف متقدم,"دبلوم سنتني يف التخصص
+شها دة إعتامد",سنتني,,
فني أشعة,"دبلوم سنتني يف مجال
التخصص",سنتني,,
تقني املوجات فوق صوتية,"دبلوم سنتني يف مجال تخصص
املوجات فوق الصوتية
+شها دة إعتامد دولية",سنتني,,
تقني طب نووي,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني مختربات طبية,"دبلوم سنتني يف مجال تخصص
املختربات العامة",سنتني,,
فني العالج ا إلشعاعي,"دبلوم سنتني يف تخصص العالج
با ألشعة",سنتني,,
فني عالج وظيفي,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني غرف العمليات,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني رصف عدسات طبية,"دبلوم سنتني يف مجال
التخصص",سنتني,,
مقوم برص,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني عيون,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني صيديل,"دبلوم سنتني يف مجال
التخصص",سنتني,,
فني عالج طبيعي,"دبلوم سنتني يف مجال
التخصص",سنتني,,
"فني ا ألطراف الصناعية والرتاكيب
املقومة","دبلوم سنتني يف مجال
التخصص",سنتني,,
فني الرعاية التنفسية,"دبلوم سنتني يف مجال
التخصص",سنتني,,
