الوظيفة أ و الدرجة,,"قيمة البدل
ً
)يوميا(",تذاكر السفر
,خا رج الدولة,داخل الدولة,
الرئيس,")3,500(
درهم",")1,750(
درهم",الدرجة ا ألولى
املدير العام / مدير,")3,000(
درهم",")1,500(
درهم",الدرجة ا ألولى
"الدرجــة ا ألولــى والثانيــة مــن نظــام الوظائــف العامــة والدرجــة
الســابعة وحتــى الثالثــة مــن نظــام وظائــف املهندســين ومــن فــي
مســتواهم والذيــن يحصلــون علــى راتــب أسا�ســي 10.000درهــم
فأكثــر مــن ا ألنظمــة ا ألخــرى.",")2,500(
درهم",")1,250(
درهم",درجة رجال ا ألعمال
"الدرجــة الثالثــة فمــا دون مــن نظــام الوظائــف العامــة والدرجــة
الثانيــة وا ألولــى مــن نظــام وظائــف املهندســين ومــن فــي مســتواهم
ً ً
والذيــن يتقاضــون راتبــا أساســيا يقــل عــن 10.000 درهــم مــن
ا ألنظمــة ا ألخــرى.",")2,000(
درهم",")1,000(
درهم",الدرجة السياحية
