0,1,2,3
ﺕﺫﺎﻛﺭ ﻼﺴﻓﺭ,"ﺍ
ﻖﻴﻣﺓ ﻼﺑﺪﻟ
(
)ﻱﻮﻤﻳ",,ﻻﻮﻈﻴﻓﺓ ﺃﻭ ﻻﺩﺮﺟﺓ
,ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ,ﺥﺍﺮﺟ ﻻﺩﻮﻟﺓ,
ﻻﺩﺮﺟﺓ ﺍﻷﻮﻠﯨ,")1,750(
ﺩﺮﻬﻣ",")3,500(
ﺩﺮﻬﻣ",ﻻﺮﺌﻴﺳ
ﻻﺩﺮﺟﺓ ﺍﻷﻮﻠﯨ,")1,500(
ﺩﺮﻬﻣ",")3,000(
ﺩﺮﻬﻣ",ﺎﻤﻟﺪﻳﺭ ﻼﻋﺎﻣ / ﻡﺪﻳﺭ
ﺩﺮﺟﺓ ﺮﺟﻻ ﺍﻸﻌﻣﻻ,")1,250(
ﺩﺮﻬﻣ",")2,500(
ﺩﺮﻬﻣ","ﻻﺩﺮﺠــﺓ ﺍﻷﻮﻠــﯨ ﻭﻼﺛﺎﻨﻴــﺓ ﻢــﻧ ﻦﻈــﺎﻣ ﻻﻮﻇﺎﺌــﻓ ﻼﻋﺎﻤــﺓ ﻭﻻﺩﺮﺠــﺓ
ﻼﺴــﺎﺒﻋﺓ ﻮﺤﺘــﯨ ﻼﺛﻼﺜــﺓ ﻢــﻧ ﻦﻈــﺎﻣ ﻮﻇﺎﺌــﻓ ﺎﻤﻠﻬﻧﺪﺴــﻴﻧ ﻮﻤــﻧ ﻒــﻳ 
ﻢﺴــﺗﻭﺎﻬﻣ ﻭﻻﺬﻴــﻧ ﻲﺤﺼﻠــﻮﻧ ﻊﻠــﯨ  ﺭﺎﺘــﺑ ﺄﺳﺍ�ﺲــﻳ 10.000ﺩﺮﻬــﻣ 
ﻑﺄﻜﺜــﺭ ﻢــﻧ ﺍﻸﻨﻈﻤــﺓ ﺍﻸﺨــﺮﯨ."
ﻻﺩﺮﺟﺓ ﻼﺴﻳﺎﺤﻳﺓ,")1,000(
ﺩﺮﻬﻣ",")2,000(
ﺩﺮﻬﻣ","ﺍ
ﺍ
ﻻﺩﺮﺠــﺓ ﻼﺛﻼﺜــﺓ ﻒﻤــﺍ ﺩﻮﻧ ﻢــﻧ ﻦﻈــﺎﻣ ﻻﻮﻇﺎﺌــﻓ ﻼﻋﺎﻤــﺓ ﻭﻻﺩﺮﺠــﺓ 
ﻼﺛﺎﻨﻴــﺓ ﻭﺍﻷﻮﻠــﯨ ﻢــﻧ ﻦﻈــﺎﻣ ﻮﻇﺎﺌــﻓ ﺎﻤﻠﻬﻧﺪﺴــﻴﻧ ﻮﻤــﻧ ﻒــﻳ ﻢﺴــﺗﻭﺎﻬﻣ 
 ﺄﺳﺎﺴــﻳ
 ﻲﻘــﻟ ﻊــﻧ 10.000 ﺩﺮﻬــﻣ ﻢــﻧ 
ﻭﻻﺬﻴــﻧ ﻲﺘﻗﺎﻀــﻮﻧ ﺭﺎﺘﺒــ
ﺍﻸﻨﻈﻤــﺓ ﺍﻸﺨــﺮﯨ."
